Yangguan,Ireland,Happy,Sum,Sometime,Vietnamese,English,Sum,Kauai,Fire,Canyo,Sum
1005,921,552,1005,114,312,840,114,1050,936,939,1050
690,705,648,690,1086,888,1035,1086,945,264,705,945
474,381,492,474,951,594,873,951,798,,552,798
288,207,309,288,729,291,663,729,696,,462,696
195,279,138,195,114,906,303,114,318,,327,318
885,984,1044,885,1065,603,165,1065,150,,225,150
669,660,861,669,843,606,1038,843,1095,,126,1095
483,486,690,483,228,294,828,228,948,,261,948
510,495,708,510,978,897,468,978,846,,966,846
315,216,156,315,363,909,327,363,468,,813,468
984,876,1029,984,249,597,162,249,255,,723,255
798,702,1017,798,135,303,990,135,105,,588,105
726,819,846,726,471,,630,471,1053,,486,1053
531,540,891,531,357,,537,357,951,,387,951
216,324,339,216,222,,372,222,573,,495,573
1014,1026,183,1014,585,,210,585,402,,234,402
912,993,1062,912,1086,,897,1086,252,,1047,252
717,714,510,717,972,,732,972,147,,957,147
402,498,354,402,837,,570,837,1098,,822,1098
186,174,171,186,615,,360,615,720,,720,720
,,,921,,,,312,504,,621,504
,,,705,,,,888,354,,648,354
,,,381,,,,594,249,,387,249
,,,207,,,,291,102,,153,102
,,,279,,,,906,822,,1110,822
,,,984,,,,603,882,,975,882
,,,660,,,,606,732,,873,732
,,,486,,,,294,627,,774,627
,,,495,,,,897,480,,738,480
,,,216,,,,909,378,,477,378
,,,876,,,,597,,,243,936
,,,702,,,,303,,,90,264
,,,819,,,,840,,,1065,939
,,,540,,,,1035,,,963,705
,,,324,,,,873,,,864,552
,,,1026,,,,663,,,873,462
,,,993,,,,303,,,612,327
,,,714,,,,165,,,378,225
,,,498,,,,1038,,,225,126
,,,174,,,,828,,,135,261
,,,552,,,,468,,,1098,966
,,,648,,,,327,,,999,813
,,,492,,,,162,,,975,723
,,,309,,,,990,,,714,588
,,,138,,,,630,,,480,486
,,,1044,,,,537,,,327,387
,,,861,,,,372,,,237,495
,,,690,,,,210,,,102,234
,,,708,,,,897,,,1101,1047
,,,156,,,,732,,,1074,957
,,,1029,,,,570,,,813,822
,,,1017,,,,360,,,579,720
,,,846,,,,,,,426,621
,,,891,,,,,,,336,648
,,,339,,,,,,,201,387
,,,183,,,,,,,99,153
,,,1062,,,,,,,,1110
,,,510,,,,,,,,975
,,,354,,,,,,,,873
,,,171,,,,,,,,774
,,,,,,,,,,,738
,,,,,,,,,,,477
,,,,,,,,,,,243
,,,,,,,,,,,90
,,,,,,,,,,,1065
,,,,,,,,,,,963
,,,,,,,,,,,864
,,,,,,,,,,,873
,,,,,,,,,,,612
,,,,,,,,,,,378
,,,,,,,,,,,225
,,,,,,,,,,,135
,,,,,,,,,,,1098
,,,,,,,,,,,999
,,,,,,,,,,,975
,,,,,,,,,,,714
,,,,,,,,,,,480
,,,,,,,,,,,327
,,,,,,,,,,,237
,,,,,,,,,,,102
,,,,,,,,,,,1101
,,,,,,,,,,,1074
,,,,,,,,,,,813
,,,,,,,,,,,579
,,,,,,,,,,,426
,,,,,,,,,,,336
,,,,,,,,,,,201
,,,,,,,,,,,99
